Full SKU Name,Category 
Garnier Color Naturals - 1 Noir Black Hair Color,Hair Care
Garnier Color Naturals - 2.0 Soft Black Hair Color,Hair Care
Garnier Color Naturals - 3 Dark Brown Hair Color,Hair Care
Garnier Color Naturals - 3.3 Dark Toffee Noir Caramel Hair Color,Hair Care
Garnier Color Naturals - 3.6 Deep Red Brown Hair Color,Hair Care
Garnier Color Naturals - 3.61 Luscious Blackberry Hair Color,Hair Care
Garnier Color Naturals - 4 Brown Hair Color,Hair Care
Garnier Color Naturals - 4 Brown Hair Color,Hair Care
Garnier Color Naturals - 4.1 Deep Ashy Brown Hair Color,Hair Care
Garnier Color Naturals - 4.15 Brownie Chocolate Hair Color,Hair Care
Garnier Color Naturals - 4.3 Golden Brown Hair Color,Hair Care
Garnier Color Naturals - 4.6 Burgundy Hair Color,Hair Care
Garnier Color Naturals - 4.6 Burgundy Hair Color,Hair Care
Garnier Color Naturals - 4.62 Sweet Cherry Hair Color,Hair Care
Garnier Color Naturals - 4.7 Dark Shiny Brown Hair Color,Hair Care
Garnier Color Naturals - 5 1/2 Creamy Coffee Hair Color,Hair Care
Garnier Color Naturals - 5 Light Brown Hair Color,Hair Care
Garnier Color Naturals - 5.1 Light Ashy Brown Hair Color,Hair Care
Garnier Color Naturals - 5.132 Nude Medium Brown Hair Color,Hair Care
Garnier Color Naturals - 5.15 Mahogany Ash Light Brown Hair Color,Hair Care
Garnier Color Naturals - 5.15 Mahogany Ash Light Brown Hair Color,Hair Care
Garnier Color Naturals - 5.25 Cinnamon Chocolate Hair Color,Hair Care
Garnier Color Naturals - 5.3 Light Golden Brown Hair Color,Hair Care
Garnier Color Naturals - 5.52 Chestnut Hair Color,Hair Care
Garnier Color Naturals - 6 Dark Blonde Hair Color,Hair Care
Garnier Color Naturals - 6.1 Dark Ash Blonde Hair Color,Hair Care
Garnier Color Naturals - 6.25 Hazelnut Hair Color,Hair Care
Garnier Color Naturals - 6.3 Mocca Hair Color,Hair Care
Garnier Color Naturals - 6.34 Chocolate Hair Color,Hair Care
Garnier Color Naturals - 6.66 Intense Red Hair Color,Hair Care
Garnier Color Naturals - 6.7 Sparkle Pure Chocolate Brown Hair Color,Hair Care
Garnier Color Naturals - 7 Blonde Hair Color,Hair Care
Garnier Color Naturals - 7.1 Ash Blonde Hair Color,Hair Care
Garnier Color Naturals - 7.11 Deep Ashy Blonde Hair Color,Hair Care
Garnier Color Naturals - 7.3 Natural Golden Blonde Hair Color,Hair Care
Garnier Color Naturals - 7.7 Deer Brown Hair Color,Hair Care
Garnier Light Complete Vitamin C Booster Serum 30 ML - Contains Niacinamide ,Skin Care
Garnier Men Acno Fight Face Makeup Wash 100 ml,Skin Care
Garnier Men Acno Fight Face Makeup Wash 20 ml,Skin Care
Garnier Men Acno Fight Face Makeup Wash 50 ml,Skin Care
Garnier Men Oil Clear Face Makeup Wash 100 ml,Skin Care
Garnier Men Oil Clear Face Makeup Wash 100ml,Skin Care
Garnier Men Oil Clear Face Makeup Wash 50 ml,Skin Care
Garnier Men Power White 2-in-1 Fairness Face Makeupwash and Shaving Foam 100 ml,Skin Care
Garnier Men Power White 2-in-1 Fairness Face Makeupwash and Shaving Foam 50 ml,Skin Care
Garnier Men Power White Face Makeup Wash 100 ml - For Brighter Skin,Skin Care
Garnier Men Power White Face Makeup Wash 50 ml - For Brighter Skin,Skin Care
Garnier Men Power White Super Duo Foam 100 ml - For Brighter Skin,Skin Care
Garnier Men Power White Super Duo Foam 50 ml - For Brighter Skin,Skin Care
Garnier Pure Active Hand Sanitizer Gel Hydro-Alcoholic 100ml,Skin Care
"Garnier Purifying Hand Wash With Tea Tree Oil, 150ml",Skin Care
Garnier Skin Active 3-in-1 Charcoal Blackhead Face Makeup Wash Mask Scrub 100ml,Skin Care
Garnier Skin Active 3-in-1 Charcoal Blackhead Face Makeup Wash Mask Scrub 50ml,Skin Care
Garnier Skin Active 3-in-1 Clay Face Makeup Wash Mask Scrub 100ml,Skin Care
Garnier Skin Active 3-in-1 Clay Face Makeup Wash Mask Scrub 50ml,Skin Care
Garnier Skin Active BB Cream Classic Extra Light 50ml,Skin Care
Garnier Skin Active BB Cream Classic Light 50ml,Skin Care
Garnier Skin Active BB Cream Oil Control Light 40ml,Skin Care
Garnier Skin Active BB Cream Oil Control Medium 40ml ,Skin Care
"Garnier Skin Active Hydra Bomb Chamomile Tissue Face Makeup Mask, Hydrating and Soothing 32g",Skin Care
"Garnier Skin Active Hydra Bomb Chamomile Tissue Face Makeup Mask, Hydrating and Soothing 32g",Skin Care
"Garnier Skin Active Hydra Bomb Green Tea Tissue Face Makeup Mask, Hydrating and Rebalancing 32g ",Skin Care
"Garnier Skin Active Hydra Bomb Green Tea Tissue Face Makeup Mask, Hydrating and Rebalancing 32g ",Skin Care
