product_title,product_vendor,product_type,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
L'Oreal Paris- Rouge Signature 116 Explore,L'Oreal CPD,L'Oreal Paris Makeup,6.9024E+12,11,16246.5,-8921.5,0,7325,0,7325
L'Oreal Paris- Haircare Gala - Dream Long Bundle 1,L'Oreal CPD,LOSC,bd8833,-1,0,0,-999,-999,0,-999
"L'Oreal Paris- Les Chocolats Lipstick- 868 Cacao Crush, 7.6 Ml",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,1,1250,0,0,1250,0,1250
NYX Professional Makeup- Total Control Drop Foundation - Buff,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,4,7286.4,-2115.72,0,5170.68,0,5170.68
NYX Professional Makeup Liquid Suede Cream Lipstick 07 Sandstorm,L'Oreal CPD,NYX Professional Makeup,8.00898E+11,25,17208.15,-839,0,16369.15,0,16369.15
L'Oreal- Paris Excellence Creme - 7 Blonde Hair Color,L'Oreal CPD,L'Oreal Paris,3.06138E+12,1,2718,0,-1359,1359,0,1359
L'Oreal Paris Elvive Total Repair 5 Conditioner 175 ml - For Damaged Hair,L'Oreal CPD,Bundle,3.61034E+12,4,982.6,0,0,982.6,0,982.6
"L'Oreal Paris- Infallible Shaping Stick Foundation, 190 Beige Gold",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,4,4800,-168,0,4632,0,4632
"L'Oreal Paris- Volume Million Lashes Fatale, Black",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,1,1300,-182,0,1118,0,1118
Maybelline New York- Superstay Matte Ink Liquid Lipstick 155 Path Finder,L'Oreal CPD,Maybelline New York,3.60053E+12,44,67311.3,-252,-24351.9,42707.4,0,42707.4
"Garnier- Skin Active Hydra Bomb Chamomile Tissue Face Mask, Hydrating and Soothing 32g",L'Oreal CPD,Garnier,6.92882E+12,6,1396,-34.07,0,1361.93,0,1361.93
"LOreal Paris- True Match Liquid Foundation, 5W Golden Sand",L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,3,6473.25,-2624.25,0,3849,0,3849
Maybelline New York- Color Sensational Creamy Matte Lipstick - 656,L'Oreal CPD,Maybelline New York,6.9024E+12,4,1748,-68.5,0,1679.5,0,1679.5
LOreal Paris- Infallible Les Chocolats Liquid Lipstick - 848 Dose of Cocoa,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,3,4373,-1624,0,2749,0,2749
NYX Professional Makeup Jumbo Eye Pencil 604 Milk,L'Oreal CPD,NYX Professional Makeup,8.00897E+11,11,6534,-118.8,0,6415.2,0,6415.2
L'Oreal Paris- True Match Setting Powder 3D/3W Golden Beige,L'Oreal CPD,L'Oreal Paris Makeup,3.60052E+12,2,3500,0,0,3500,0,3500
Garnier- Skin Active Light Complete Day Cream 25ml - For Brighter Skin,L'Oreal CPD,Garnier,3.61034E+12,243,17476.6,-477.96,0,16998.64,0,16998.64
LOreal Paris- Color Riche Moisture Matte Lipstick - C402 Peach Dream,L'Oreal CPD,LOreal Paris Makeup,6.9024E+12,3,3462.3,0,0,3462.3,0,3462.3
"L'Oreal Paris Pure Clay Detoxifying Charcoal Face Mask, Black 50 ml",L'Oreal CPD,L'Oreal Paris Skincare,3.60052E+12,1,979.3,0,0,979.3,0,979.3
